instance,customer_num,routes_used_number,distance_all,execution_time,random_seed
R109,50,8,810.366,42.14,104
R109,25,5,455.411,14.073,104
R110,100,13,1248.98,150.44,104
R110,50,9,769.783,42.225,104
R110,25,5,448.778,14.71,104
R111,100,14,1318.89,152.781,104
R111,50,9,788.127,42.128,104
R111,25,5,423.39,14.691,104
R112,100,12,1154.69,152.151,104
R112,50,8,694.378,42.407,104
R112,25,4,407.946,14.155,104
R201,100,13,1355.91,149.023,104
R201,50,8,862.684,41.09,104
R201,25,4,471.632,14.016,104
R202,100,13,1298.34,159.887,104
R202,50,7,832.429,44.259,104
R202,25,4,424.119,15.17,104
R203,100,10,1179.56,203.167,104
R203,50,7,714.843,52.974,104
R203,25,4,415.298,16.992,104
R204,100,7,973.07,270.81,104
R204,50,5,606.01,69.981,104
R204,25,3,380.361,18.805,104
R205,100,11,1279.74,149.09,104
R205,50,8,801.138,41.348,104
R205,25,4,419.829,14.526,104
R206,100,9,1120.69,163.366,104
R206,50,7,779.851,46.69,104
R206,25,4,410.126,14.786,104
R207,100,9,1063.55,204.791,104
R207,50,6,713.905,53.994,104
R207,25,3,372.372,17.22,104
R208,100,7,1003.34,268.707,104
R208,50,4,527.111,70.317,104
R208,25,3,359.632,18.651,104
R209,100,11,1106.25,151.216,104
R209,50,6,684.209,42.717,104
R209,25,3,408.89,14.325,104
R210,100,10,1211.08,153.499,104
R210,50,6,715.667,41.629,104
R210,25,4,428.174,14.559,104
R211,100,9,1048.14,156.578,104
R211,50,5,677.771,42.192,104
R211,25,3,379.528,14.34,104
R101,100,21,1765.99,147.437,105
R101,50,13,1072.47,41.703,105
R101,25,8,618.33,14.174,105
R102,100,20,1722.85,161.773,105
R102,50,12,987.118,44.39,105
R102,25,7,539.29,15.443,105
R103,100,17,1474.41,200.018,105
R103,50,10,884.994,53.823,105
R103,25,6,460.117,16.979,105
R104,100,13,1203.31,265.429,105
R104,50,8,718.721,71.094,105
R104,25,4,408.163,18.905,105
R105,100,18,1535.06,148.808,105
R105,50,10,924.725,42.771,105
R105,25,6,531.804,16.351,105
R106,100,16,1456.62,163.968,105
R106,50,10,887.654,45.708,105
R106,25,6,485.319,14.678,105
R107,100,17,1428.18,203.267,105
R107,50,9,823.967,54.354,105
R107,25,4,445.359,16.472,105
R108,100,14,1202.75,265.963,105
R108,50,6,681.941,70.819,105
R108,25,4,429.363,18.822,105
R109,100,15,1407.47,149.486,105
R109,50,8,847.608,41.709,105
R109,25,5,470.137,14.625,105
R110,100,14,1338.43,152.174,105
R110,50,8,808.161,42.66,105
R110,25,5,445.177,14.847,105
R111,100,14,1287.53,153.521,105
R111,50,11,827.058,42.182,105
R111,25,5,466.529,15.045,105
R112,100,12,1186.76,154.04,105
R112,50,7,711.518,43.475,105
R112,25,5,419.419,14.664,105
R201,100,14,1382.91,147.36,105
R201,50,9,897.296,41.906,105
R201,25,5,479.065,14.285,105
R202,100,11,1242.47,164.06,105
R202,50,8,811.293,45.509,105
R202,25,4,431.587,15.521,105
R203,100,9,1078.96,203.849,105
R203,50,8,701.639,52.826,105
R203,25,4,427.361,17.414,105
R204,100,9,1029.98,272.557,105
R204,50,4,632.869,69.456,105
R204,25,3,357.941,18.907,105
R205,100,12,1257.09,149.799,105
R205,50,8,802.513,41.322,105
R205,25,5,422.682,14.135,105
R206,100,9,1117.63,164.818,105
R206,50,7,730.47,45.023,105
R206,25,3,416.668,14.911,105
R207,100,8,1075.91,205.635,105
R207,50,5,669.408,53.399,105
R207,25,4,377.406,16.952,105
R208,100,7,951.174,272.876,105
R208,50,5,588.602,71.059,105
R208,25,3,356.4,19.204,105
R209,100,9,1142.65,167.305,105
R209,50,6,680.39,45.49,105
R209,25,3,401.997,15.317,105
R210,100,10,1174.73,156.815,105
R210,50,7,758.702,42.198,105
R210,25,4,415.971,14.686,105
R211,100,10,1078.91,158.366,105
R211,50,8,651.664,44.927,105
R211,25,3,379.194,16.489,105
R101,100,22,1749.23,159.308,106
R101,50,12,1055.14,44.559,106
R101,25,8,618.33,15.08,106
R102,100,20,1680.43,166.26,106
R102,50,12,993.619,46.93,106
R102,25,7,555.055,15.797,106
R103,100,17,1491.75,203.21,106
R103,50,11,862.979,57.962,106
R103,25,6,466.049,19.78,106
R104,100,13,1215.87,299.969,106
R104,50,8,687.948,70.548,106
R104,25,4,417.961,20.132,106
R105,100,16,1517.83,146.574,106
R105,50,10,927.096,42.434,106
R105,25,6,531.804,14.343,106
R106,100,16,1479.4,179.004,106
R106,50,10,855.662,54.359,106
R106,25,5,481.402,15.513,106
R107,100,14,1331.23,197.029,106
R107,50,8,811.321,54.024,106
R107,25,5,447.246,17.258,106
R108,100,15,1282.85,261.569,106
R108,50,8,711.866,71.277,106
R108,25,4,404.61,19.832,106
R109,100,15,1347.45,148.566,106
R109,50,10,843.213,42.318,106
R109,25,5,459.468,14.2,106
R110,100,15,1320.4,151.72,106
R110,50,8,799.071,43.503,106
R110,25,5,439.887,14.475,106
R111,100,14,1377.05,152.546,106
R111,50,10,790.834,44.647,106
R111,25,5,449.416,14.398,106
R112,100,15,1266.54,155.804,106
R112,50,7,693.044,42.726,106
R112,25,4,415.27,15.695,106
R201,100,13,1382.77,151.206,106
R201,50,9,863.242,42.327,106
R201,25,4,474.016,14.489,106
R202,100,10,1270.56,165.217,106
R202,50,8,855.891,46.388,106
R202,25,4,424.991,14.814,106
R203,100,9,1131.48,205.92,106
R203,50,5,673.066,55.903,106
R203,25,4,415.885,17.451,106
R204,100,8,980.843,292.374,106
R204,50,4,590.478,80.049,106
R204,25,3,383.899,22.282,106
R205,100,11,1292.67,167.474,106
R205,50,6,784.101,47.852,106
R205,25,3,417.023,16.826,106
R206,100,8,1085.38,192.913,106
R206,50,6,692.83,51.682,106
R206,25,3,413.672,16.947,106
R207,100,8,1065.59,230.631,106
R207,50,5,670.608,60.083,106
R207,25,3,385.15,19.178,106
R208,100,5,852.12,306.232,106
R208,50,5,553.436,79.017,106
R208,25,2,347.07,21.299,106
R209,100,12,1227.16,168.564,106
R209,50,7,661.549,47.136,106
R209,25,4,392.942,16.988,106
R210,100,10,1169.35,170.043,106
R210,50,5,695.011,47.536,106
R210,25,3,438.761,16.057,106
R211,100,10,1129.35,173.862,106
R211,50,6,642.378,48.578,106
R211,25,3,374.246,16.211,106
R101,100,21,1772.55,179.691,100
R101,100,21,1772.55,152.72,100
R101,50,13,1056.47,56.137,100
R101,100,21,1772.55,164.226,100
R101,50,13,1056.47,64.254,100
R101,25,8,618.33,21.299,100
R102,100,19,1713.92,182.667,100
R102,50,12,997.315,65.348,100
R102,25,7,552.857,25.81,100
R101,100,21,1772.55,191.85,100
R101,50,13,1056.47,57.991,100
R101,25,8,618.33,27.868,100
R102,100,19,1713.92,226.62,100
R102,50,12,997.315,62.632,100
R102,25,7,552.857,23.515,100
R101,100,21,1815.86,153.918,110
R101,100,22,1813.16,165.849,110
R102,100,20,1690.57,193.096,110
R103,100,18,1536.82,235.054,110
R104,100,13,1241.12,297.567,110
R105,100,18,1518.15,144.228,110
R106,100,16,1436.24,162.685,110
R107,100,15,1344.83,213.269,110
R108,100,13,1187.9,293.469,110
R109,100,15,1368.15,144.411,110
R110,100,15,1337.89,149.705,110
R111,100,13,1236.53,148.245,110
R112,100,13,1250.57,152.27,110
R201,100,12,1380.32,144.726,110
R202,100,10,1277.03,164.13,110
R203,100,10,1188.22,215.643,110
R204,100,8,979.276,302.226,110
R205,100,9,1168.82,147.902,110
R206,100,10,1132.63,164.845,110
R207,100,8,1056.84,215.775,110
R208,100,9,963.671,301.636,110
R209,100,8,1097.99,152.007,110
R210,100,10,1202.44,149.421,110
R211,100,9,1038.73,157.129,110
R101,100,22,1711.83,145.004,111
R102,100,20,1665.93,167.482,111
R103,100,18,1493.02,213.921,111
R104,100,14,1233.85,296.676,111
R105,100,17,1517.21,144.083,111
R106,100,17,1437.58,162.842,111
R107,100,14,1307.9,213.602,111
R108,100,13,1195.6,289.726,111
R109,100,15,1390.94,145.856,111
R110,100,14,1386.54,148.692,111
R111,100,16,1388.45,150.746,111
R112,100,12,1208.64,152.67,111
R201,100,12,1408.85,146.037,111
R202,100,12,1315.58,162.048,111
R203,100,12,1202.69,216.083,111
R204,100,8,933.927,301.053,111
R205,100,11,1186.58,147.884,111
R206,100,9,1170.1,164.446,111
R207,100,10,1064.89,215.59,111
R208,100,7,970.945,305.771,111
R209,100,11,1183.92,149.65,111
R210,100,9,1166.54,149.228,111
R211,100,9,1052.35,155.368,111
R101,100,20,1716.72,144.149,112
R102,100,19,1653.55,161.849,112
R103,100,19,1560.11,213.473,112
R104,100,13,1245.12,292.586,112
R105,100,17,1494.6,144.35,112
R106,100,17,1474.24,164.237,112
R107,100,17,1405.35,210.885,112
R108,100,13,1180.27,288.525,112
R109,100,17,1397.73,146.092,112
R110,100,15,1383.11,149.32,112
